workload_index,workload_hash,sample,seq_len,routing_ms,dequant_ms,expert_ms,step1_ms,step2_ms,expert_other_ms,out_ms,total_ms
16,76010cb4,3,54,0.107,0.0,0.632,0.269,0.306,0.056999999999999995,0.011,0.754
16,76010cb4,4,54,0.108,0.0,0.635,0.269,0.308,0.057999999999999996,0.011,0.759
17,fc378037,0,53,0.108,0.0,0.69,0.286,0.336,0.06799999999999995,0.011,0.817
17,fc378037,1,53,0.565,0.0,0.69,0.288,0.338,0.06399999999999995,0.011,1.271
17,fc378037,2,53,0.108,0.0,0.662,0.287,0.335,0.040000000000000036,0.011,0.785
17,fc378037,3,53,0.108,0.0,0.686,0.285,0.339,0.062000000000000055,0.011,0.809
17,fc378037,4,53,0.108,0.0,0.682,0.288,0.336,0.05800000000000005,0.011,0.805
18,f7d6ac7c,0,52,0.106,0.0,0.498,0.203,0.229,0.06599999999999998,0.011,0.622
18,f7d6ac7c,1,52,0.564,0.0,0.49,0.206,0.224,0.060000000000000026,0.011,1.071
18,f7d6ac7c,2,52,0.105,0.0,0.472,0.207,0.23,0.035,0.01,0.591
18,f7d6ac7c,3,52,0.106,0.0,0.492,0.206,0.228,0.058000000000000024,0.011,0.613
18,f7d6ac7c,4,52,0.108,0.0,0.489,0.206,0.226,0.05700000000000002,0.01,0.612
