rank,ok,mode,b_layout,sign_mode,mma_sm,out_dtype,max_abs,max_rel,mean_abs,matched_ratio,error
21,True,MN,colmajor_physical,raw,1,bfloat16,576.0,42929.40234375,86.84905242919922,0.003557477678571397,
22,True,MN,colmajor_physical,raw,2,bfloat16,576.0,42929.40234375,86.84905242919922,0.003557477678571397,
23,True,K,colmajor_physical,raw,1,bfloat16,576.0,42929.40234375,86.84905242919922,0.003557477678571397,
24,True,K,colmajor_physical,raw,2,bfloat16,576.0,42929.40234375,86.84905242919922,0.003557477678571397,
25,True,MN,rowmajor_physical,abs_scale_only,1,float16,608.25,41038.01953125,84.82254791259766,0.003522600446428603,
26,True,MN,rowmajor_physical,abs_scale_only,2,float16,608.25,41038.01953125,84.82254791259766,0.003522600446428603,
27,True,K,rowmajor_physical,abs_scale_only,1,float16,608.25,41038.01953125,84.82254791259766,0.003522600446428603,
28,True,K,rowmajor_physical,abs_scale_only,2,float16,608.25,41038.01953125,84.82254791259766,0.003522600446428603,
29,True,MN,rowmajor_physical,abs_scale_only,1,bfloat16,608.0,41149.30078125,84.82380676269531,0.0034877232142856984,
30,True,MN,rowmajor_physical,abs_scale_only,2,bfloat16,608.0,41149.30078125,84.82380676269531,0.0034877232142856984,
31,True,K,rowmajor_physical,abs_scale_only,1,bfloat16,608.0,41149.30078125,84.82380676269531,0.0034877232142856984,
32,True,K,rowmajor_physical,abs_scale_only,2,bfloat16,608.0,41149.30078125,84.82380676269531,0.0034877232142856984,
33,True,MN,colmajor_physical,abs_scale_only,1,float16,575.25,13096.73828125,86.0549087524414,0.0032087053571429047,
34,True,MN,colmajor_physical,abs_scale_only,2,float16,575.25,13096.73828125,86.0549087524414,0.0032087053571429047,
35,True,K,colmajor_physical,abs_scale_only,1,float16,575.25,13096.73828125,86.0549087524414,0.0032087053571429047,
36,True,K,colmajor_physical,abs_scale_only,2,float16,575.25,13096.73828125,86.0549087524414,0.0032087053571429047,
37,True,MN,colmajor_physical,abs_scale_only,1,bfloat16,576.0,13095.40625,86.05624389648438,0.0031040736607143016,
38,True,MN,colmajor_physical,abs_scale_only,2,bfloat16,576.0,13095.40625,86.05624389648438,0.0031040736607143016,
39,True,K,colmajor_physical,abs_scale_only,1,bfloat16,576.0,13095.40625,86.05624389648438,0.0031040736607143016,
40,True,K,colmajor_physical,abs_scale_only,2,bfloat16,576.0,13095.40625,86.05624389648438,0.0031040736607143016,
41,True,MN,colmajor_physical,fold_operand_signs,1,bfloat16,534.0,56392.15625,86.89054107666016,0.003034319196428603,
42,True,MN,colmajor_physical,fold_operand_signs,2,bfloat16,534.0,56392.15625,86.89054107666016,0.003034319196428603,
43,True,K,colmajor_physical,fold_operand_signs,1,bfloat16,534.0,56392.15625,86.89054107666016,0.003034319196428603,
44,True,K,colmajor_physical,fold_operand_signs,2,bfloat16,534.0,56392.15625,86.89054107666016,0.003034319196428603,
45,True,MN,colmajor_physical,fold_operand_signs,1,float16,535.0,56283.078125,86.8907699584961,0.0029645647321429047,
46,True,MN,colmajor_physical,fold_operand_signs,2,float16,535.0,56283.078125,86.8907699584961,0.0029645647321429047,
47,True,K,colmajor_physical,fold_operand_signs,1,float16,535.0,56283.078125,86.8907699584961,0.0029645647321429047,
48,True,K,colmajor_physical,fold_operand_signs,2,float16,535.0,56283.078125,86.8907699584961,0.0029645647321429047,
